Location(253, 84, -131)
Location(257, 85, -145)
Location(260, 84, -154)
Location(280, 84, -137)
Location(283, 84, -124)
Location(295, 84, -145)
Location(294, 84, -156)
Location(298, 84, -134)
Location(304, 84, -146)
Location(304, 84, -156)
Location(283, 81, -113)
Location(263, 84, -107)
Location(265, 84, -113)
Location(256, 86, -115)
Location(254, 93, -105)
Location(259, 95, -103)
Location(265, 95, -106)
Location(272, 95, -103)
Location(276, 95, -103)
Location(286, 95, -107)
Location(303, 95, -108)
Location(302, 95, -115)
Location(298, 95, -114)
Location(294, 95, -115)
Location(293, 95, -107)
Location(285, 95, -114)
Location(288, 95, -119)
Location(286, 95, -122)
Location(284, 95, -138)
Location(288, 101, -128)
Location(284, 101, -127)
Location(303, 95, -138)
Location(305, 95, -132)
Location(299, 95, -140)
Location(295, 96, -136)
Location(300, 95, -128)
Location(303, 95, -119)
Location(300, 95, -119)
Location(303, 95, -121)
Location(304, 95, -124)
Location(299, 95, -115)
Location(253, 84, -114)
Location(252, 84, -103)
Location(273, 84, -112)
Location(271, 84, -116)
Location(286, 76, -115)
Location(289, 76, -115)
Location(280, 76, -115)
Location(296, 76, -113)
Location(294, 76, -112)
Location(295, 76, -115)
Location(305, 76, -107)
Location(301, 76, -111)
Location(305, 76, -114)
Location(303, 76, -109)
Location(302, 76, -113)
Location(297, 76, -121)
Location(295, 76, -126)
Location(296, 76, -128)
Location(301, 76, -130)
Location(304, 76, -135)
Location(291, 76, -137)
Location(278, 76, -136)
Location(272, 76, -139)
Location(269, 76, -133)
Location(252, 76, -137)
Location(258, 76, -127)
Location(257, 76, -105)
Location(255, 76, -109)
Location(256, 76, -115)
Location(257, 76, -121)
Location(269, 76, -133)
Location(272, 76, -123)
Location(270, 76, -120)
Location(269, 76, -121)
Location(265, 76, -121)
Location(263, 76, -128)
Location(261, 77, -118)
Location(266, 77, -131)
Location(278, 77, -123)
Location(280, 76, -130)
Location(285, 76, -132)
Location(279, 77, -128)
Location(288, 77, -127)
Location(290, 76, -125)
Location(284, 76, -123)
Location(303, 76, -129)
Location(304, 76, -134)
Location(305, 76, -139)
Location(306, 76, -143)
Location(304, 80, -148)
Location(296, 76, -102)
Location(280, 76, -102)
Location(272, 78, -111)
Location(274, 78, -110)
Location(274, 77, -116)
Location(268, 76, -116)
Location(262, 76, -116)
Location(263, 76, -109)
Location(261, 76, -109)
Location(261, 76, -105)
Location(266, 76, -103)
Location(269, 76, -105)
Location(273, 76, -104)
Location(277, 83, -115)
Location(279, 83, -112)
Location(278, 83, -114)
Location(287, 83, -112)
Location(289, 83, -113)
Location(288, 83, -115)
Location(284, 81, -114)
Location(282, 81, -113)
Location(300, 84, -134)
Location(303, 88, -154)
Location(303, 88, -148)
Location(303, 89, -146)
Location(290, 84, -151)
Location(290, 86, -156)
Location(284, 86, -156)
Location(286, 84, -145)
Location(288, 84, -148)
Location(285, 84, -150)
Location(277, 84, -132)
Location(289, 84, -129)
Location(285, 84, -130)
Location(282, 84, -131)
Location(257, 85, -147)
Location(269, 84, -135)
Location(268, 84, -134)
Location(286, 84, -134)
Location(262, 96, -124)
Location(260, 95, -124)
Location(261, 95, -116)
Location(266, 96, -114)
Location(279, 101, -111)
Location(282, 101, -116)
Location(282, 101, -120)
Location(277, 101, -123)
Location(272, 101, -124)
Location(268, 101, -120)
Location(269, 101, -118)
Location(268, 101, -114)
Location(275, 96, -118)
Location(273, 96, -115)
Location(280, 95, -122)
Location(273, 95, -124)
Location(268, 95, -124)
Location(271, 95, -115)
Location(278, 95, -110)
Location(279, 95, -108)
Location(284, 95, -103)
Location(289, 95, -105)
Location(279, 95, -107)
Location(274, 95, -107)
Location(273, 95, -107)
Location(259, 95, -107)
Location(259, 95, -103)
Location(261, 95, -105)
Location(270, 95, -104)
Location(279, 95, -106)
Location(285, 95, -105)
Location(288, 95, -111)
Location(286, 95, -118)
Location(288, 95, -122)
Location(297, 95, -118)
Location(292, 95, -118)
Location(299, 95, -132)
Location(296, 96, -136)
Location(304, 96, -137)
Location(303, 96, -130)
Location(302, 95, -127)
Location(294, 95, -128)
Location(290, 95, -138)
Location(252, 95, -102)
Location(256, 94, -103)
Location(252, 95, -106)
Location(253, 89, -113)
Location(257, 92, -110)
Location(304, 79, -156)
Location(300, 80, -149)
Location(302, 79, -144)
Location(302, 77, -148)
Location(272, 76, -145)
Location(268, 76, -142)
Location(272, 76, -149)
Location(269, 76, -153)
Location(273, 76, -156)
Location(278, 76, -156)
Location(281, 78, -150)
Location(280, 77, -147)
Location(276, 77, -153)
Location(273, 77, -153)
Location(280, 77, -153)
Location(282, 76, -142)
Location(272, 76, -138)
Location(272, 76, -134)
Location(271, 76, -131)
Location(271, 76, -129)
Location(270, 76, -124)
Location(273, 76, -122)
Location(273, 76, -126)
Location(263, 76, -139)
Location(253, 76, -134)
Location(255, 78, -103)
